Period,Unternehmen A Price,Unternehmen A Quantity,Unternehmen A Profit,Unternehmen A Total Cost,Unternehmen B Price,Unternehmen B Quantity,Unternehmen B Profit,Unternehmen B Total Cost
0,100.0,5496.714153011233,219835.70765056164,329835.70765056164,100.0,5455.489569821686,351884.269887518,193664.68709465058
1,99.7,4588.73409661689,172510.08460185945,284986.70483084454,97.45151013059744,5072.030813342388,311816.1377888664,182460.92440027164
2,99.18279648266795,5107.550384904185,195098.11110571487,311483.0192452093,95.34551623171349,6093.984611219904,367611.5703282824,213422.53833659712
3,98.51303190887737,5721.6642970252315,220908.7276134694,342749.7698512616,93.5740141025934,7199.69850590809,426804.70434902154,246899.9851772427
4,97.73840808594119,4093.442366910977,138181.2016378772,261905.33889554883,92.05698388873012,5339.37687650587,300127.50450118294,191399.4265951761
5,96.89409471455389,4037.785924238211,131542.76281281916,259694.84896741057,90.73511085693893,5390.26055730108,295847.7709924665,193238.11822203238
6,96.00599099622157,5528.76120431708,195972.52990301565,334821.66849890904,89.56438926018019,7482.836041722704,413864.9542412471,256330.6857697111
7,95.0931376548369,4827.016044832413,158697.85460584878,300318.24660750624,88.51212744324133,6577.752025378497,352714.20423577505,229496.62132456523
8,94.16950025134761,3787.9904491671573,107756.52628704673,248956.64126790228,87.55399359236885,5170.824473031237,265115.8974192615,187610.4353597795
9,93.24528760467263,4639.827749668347,140497.99547290878,292144.0774810572,86.67183257396232,6321.109034826502,325418.27472291724,222443.82922532587
10,92.3279266038797,3808.474293740399,100450.60348058995,251177.9315846362,85.85205331863315,5164.330871981233,255299.81945462292,188068.58992177312
11,91.42278311539914,3821.729797533353,96944.92546228995,252448.24894326006,85.08443794137203,5148.1871775254,250114.94669100567,187915.6657257215
12,90.53369528417231,4439.430593403553,117971.15025099355,283946.906327436,84.3612624199037,5932.757163234625,288707.4181202018,211787.46580099786
13,89.66336821048574,2628.155439487037,41646.36648693439,194002.90239818278,83.67664734301256,3480.9681137284297,152703.89943987387,138571.84182485158
14,88.81366618170938,2804.4909242585227,45631.492815734644,203445.6279409954,83.02607852323148,3679.103523976007,160604.20596032075,144857.33211640888
15,87.98582918029189,3822.660615796266,81353.64062051644,254986.32333516324,82.40605301436956,4964.916372291144,225362.6019571012,183776.55982983427
16,87.18063340465655,3455.3960701454866,63981.9890811668,237261.6289780778,81.81381861628189,4442.176641687349,194988.77542616153,168442.65859833144
17,86.39851046997023,4633.619573231544,103520.10682461591,296817.72238708864,81.24717797122722,5895.478108585684,266597.4829149765,212393.47619875858
18,85.63963568618225,3589.6455099666773,62145.54705498571,245270.38666110043,80.70434907476698,4520.025409088053,193300.5218986171,171485.18654324155
19,84.90399397781641,3166.29020361621,44070.18192464509,224760.50245520473,80.1838588879629,3945.947008580761,161779.57934469028,154621.6787707288
20,84.19142889216717,5740.205077769393,129155.3615458709,354120.7060856079,79.68446560698422,7080.801567024778,315200.1407282835,249029.74820918235
21,83.50167916682793,4263.366334500745,75048.37438998959,280949.8734441468,79.20510136241558,5206.216717183284,219200.66307328254,193158.25972592193
22,82.83440608229944,4551.224816618151,80977.39151437843,296020.61311720824,78.7448297040584,5502.815728697905,230892.3397956658,202425.94765346477
23,82.18921395536316,3228.9693445730277,34794.019078606245,230592.43323781507,78.30281439530677,3866.244553545915,149035.6025263411,153702.22715683037
24,81.5656655561716,4046.0391644662336,57880.5134234578,272137.363892567,77.87829639626206,4798.576729213985,191655.63946555546,182049.34133237702
25,80.96329375099185,4665.778198114542,73934.10119924613,303822.66963167494,77.47057687525565,5482.218985678719,221771.13795613064,202939.5294208786
26,80.38161033279246,3531.9328344393402,36066.709774323856,247835.73904517438,77.07900469209024,4112.357878183286,154748.02639352297,162228.42579452076
27,79.82011275464598,4957.623149249385,75885.39300922031,319832.6457589087,76.70296718284348,5721.324438808722,227956.56116457173,210885.99950777408
28,79.27828929591719,4076.9824427986177,46696.06823522929,276520.1253193347,76.34188337851289,4664.51237691164,176523.55958152167,179574.10031429672
29,78.75562305404122,4383.898036772813,52664.00624159252,292592.61504983844,75.99519901384423,4973.61998300199,188727.52464039205,189243.71578707668
30,78.25159505298,4113.987486380463,42095.0181749381,279831.064662333,75.66238285484623,4629.354154619034,170951.87431890014,179316.09209855818
31,77.76568668460207,6437.748877625935,103875.51104356744,396760.4511280397,75.34292399172482,7186.824178879216,285031.8003502234,256444.5475009635
32,77.29738164333918,4704.934075298223,52810.64374095644,310868.44108412147,75.03632983760602,5211.967949008177,193479.68729863028,197607.25882617824
33,76.84616747325305,3735.1114874736854,23895.473831587355,263133.52906608675,74.74212464338514,4106.726242066967,142082.95483932865,164862.48982150125
34,76.4115368163361,5538.675305274165,69143.19249965367,354075.49950303475,74.45984838509148,6045.605111071381,226709.37704928053,223445.4629172286
35,75.99298842805636,3608.8382272601325,15891.338698180334,258355.06294472638,74.18905592096361,3911.4645676687537,130345.84383264423,159842.01971100067
36,75.5900280095842,4992.727252514463,49071.747138522565,328328.64572326007,73.92931633254572,5374.560554835953,193177.70725406357,204159.88015282602
37,75.20216889288272,2924.7044261556457,-5770.311018776061,225714.42723629458,73.68021243369046,3127.618087975966,93262.72835141807,137180.83678210387
38,74.82893260966243,3544.4905022634684,7731.917828490783,257498.52310097084,73.44134032548436,3766.205495444278,119823.19757905116,156771.9819475815
39,74.46984936026817,5033.533480206814,42093.06804285169,332753.4119780161,73.21230905159841,5315.348538418862,185464.80850402208,203684.13140766154
40,74.1244584022464,5576.151723413829,52634.13494875934,360695.09151804366,72.99274028525858,5853.158672905012,206977.41866496732,220260.672194797
41,73.79230836969185,5040.813765672989,37226.21514625364,334747.06868447515,72.78226804761789,5260.654650032392,179950.16621591014,202932.21062869488
42,73.4729575333416,4775.3975763185235,28559.260308913188,322303.3230207601,72.58053844012106,4955.833444292274,165458.3596385244,194238.70016776855
43,73.16597400869918,4607.424506522449,22366.697718260402,314740.0039730047,72.38720938804522,4755.718054633636,155562.2831648726,188690.87544639944
44,72.87093591846966,3462.5880544912097,-6019.836927024124,258341.86915791157,72.2019503885282,3555.4135417711923,103565.85875506495,153141.93339860003
45,72.58743151430993,4219.917726119296,9252.511537057464,297060.4774036494,72.02444225833003,4311.252395726117,134233.65494836034,176281.8942887024
46,72.31505926193695,4487.083447031045,13204.296025092655,311279.40936021367,71.85437688155602,4561.950153709227,143523.81540713037,184272.2702523649
47,72.0534278932542,6002.311166816548,44577.047131515166,387910.04771957546,71.69145695395706,6073.885189609642,205341.21962838876,230104.45898578822
48,71.80215642846261,5307.982133666466,27053.02252514544,354071.5409558589,71.53539572599661,5347.0219662309755,173723.89099252608,208777.44131740322
49,71.56087417103802,3222.80168059008,-20072.737101848325,250699.24264476492,71.38591674166341,3232.3717756640285,84924.2190319555,145821.60342369956
